Controller,Trial,InitialPositionm,InitialVelocitymps,InitialAngleDeg,InitialAngularRateRadps,Success,SurvivalTimeS,AngleRMSEDeg,PositionRMSEm,ControlEnergyN2s
PID,14,0.3940884610145,-0.100361663376337,-0.509233008470829,-0.0401175404644149,1,10,0.434209981130015,0.108197565942152,0.193174177918661
PID,15,-0.451824897287147,-0.115606623628174,-3.72057111427092,-0.105709660081422,1,10,1.58160131730558,0.214970228539167,6.81733850850572
PID,16,-0.0549323572364145,-0.118949311085355,3.29538472335577,0.0852236743875145,1,10,0.462367096427172,0.00989926348694017,0.694238342643197
PID,17,0.0618938892024055,0.0683989354093291,-6.28649345532894,0.0829115281109691,1,10,0.775141670402968,0.0161536772558283,1.19950075385167
PID,18,-0.136285369734338,0.0968981775898864,-5.34018257704605,0.0977721896581794,1,10,0.66041458953568,0.0604254560191635,1.17413283299125
PID,19,0.194493079949288,0.141820939765383,5.11073721346713,0.0580900330203115,1,10,1.33943959539129,0.135154129614422,6.02254128587269
PID,20,0.423368082043619,-0.166260485583121,4.02270711742936,-0.0186397326731431,1,10,0.765631050112029,0.143916297791316,2.12889330783104
PID,21,-0.469406932457783,-0.132016183805124,-3.53211894561712,0.250932920966842,1,10,1.03274409834537,0.173284554870152,2.39105490057527
PID,22,-0.378594561410012,0.190364944802903,5.69097145347633,0.113777102078635,1,10,0.997225101555698,0.0586216191014543,3.30826485109996
PID,23,-0.268093630114017,-0.199041130865102,3.84290422024782,-0.0448244263363964,1,10,0.950452112103763,0.0945787052867639,0.490957902543896
PID,24,0.142896949775171,-0.016932581664609,6.64843859521794,0.123172936476515,1,10,1.26139181803976,0.113040999290568,6.65854901165222
PID,25,-0.264066399227087,-0.179829638439848,-3.46338606960201,0.268092714457597,1,10,0.762535089695044,0.110082627712761,1.27409724053027
PID,26,0.466865769521486,0.0607282925834481,-5.3118945490512,-0.266357911668491,1,10,0.922449078633353,0.0993324518111146,2.47113298073259
PID,27,-0.350832866926648,0.198519732643512,-4.28080985202178,-0.0605217655829855,1,10,0.761923630233505,0.126109216002317,2.4994264951003
PID,28,-0.453103560502506,-0.014726984826808,5.14523476966703,-0.207071684509551,1,10,1.07417077099383,0.137485651686789,0.524136545511948
PID,29,-0.029548853387146,-0.0511446772148436,5.64242541676418,0.260723680472952,1,10,1.08933708106178,0.0637859758455626,5.74013090264955
PID,30,0.182577483172924,0.064749021494834,-6.50413871633225,0.117563178368505,1,10,0.843313617371896,0.0372106272782609,0.697741852863849
MPC,1,-0.280654365073077,0.151753263675519,2.77804198522711,0.0585181560656863,1,10,0.432633017518993,0.0877579840914627,7.07366853010745
MPC,2,-0.0869882631213328,0.0731681488731405,1.56113813290235,0.278427576258667,1,10,0.506790974279342,0.0974899440694696,8.5564451011912
MPC,3,0.476635478160301,0.0081146493734025,1.40012511180369,0.129608898700069,1,10,0.822614567906524,0.217793161300129,12.3305447591594
MPC,4,-0.411100978351871,-0.0131977765930676,-6.45083131853546,-0.264939249069674,1,10,1.34045298766448,0.290334551911272,22.3626017789538
MPC,5,-0.0207101403198184,-0.0970397599561874,7.95837542072207,0.0603772652285522,1,10,0.816462824458212,0.0574946737517578,21.1435520337795
MPC,6,0.48755049423767,0.0032113122799334,2.19569559818687,0.284682692606237,1,10,1.03914761217526,0.26222862220469,16.803500861129
MPC,7,-0.301858910981082,0.0297879170455993,-4.23617073870706,0.255121343229839,1,10,0.505457862116429,0.112540091544103,12.2725896482487
MPC,8,0.411715181845275,-0.00394324572742438,6.57627243863308,0.0675394115285242,1,10,1.07477803270007,0.233529960130841,20.592956940492
MPC,9,0.0582501148658583,-0.117127999914098,-5.30868119193748,0.234358982793413,1,10,0.412402101888388,0.010756599917542,12.424522209633
MPC,10,0.283229468475761,-0.0196465758103432,-2.5396764563978,-0.178440944607794,1,10,0.389847350102807,0.0837676563342925,7.00653504633938
MPC,11,-0.197523410380451,0.175971544283581,0.544632010222029,0.259276655488745,1,10,0.577351979997163,0.115383825976018,4.68176381867876
MPC,12,-0.102699006513766,-0.0752985102229931,-2.09832345905964,-0.117765219468876,1,10,0.486496264274263,0.104997290838245,10.2903763253109
MPC,13,-0.204032685309577,-0.190798972641523,0.0793158157915013,0.259364020264769,1,10,0.301281742502834,0.0809432409515792,0.697077654097905
MPC,14,0.3940884610145,-0.100361663376337,-0.509233008470829,-0.0401175404644149,1,10,0.464478229172715,0.128801928459418,1.55817575731848
MPC,15,-0.451824897287147,-0.115606623628174,-3.72057111427092,-0.105709660081422,1,10,1.06485523123233,0.25983430071553,17.5105209288855
MPC,16,-0.0549323572364145,-0.118949311085355,3.29538472335577,0.0852236743875145,1,10,0.276126202784632,0.0141646378033851,9.58407981968114
MPC,17,0.0618938892024055,0.0683989354093291,-6.28649345532894,0.0829115281109691,1,10,0.545054791376573,0.01191323187055,14.8215126776056
MPC,18,-0.136285369734338,0.0968981775898864,-5.34018257704605,0.0977721896581794,1,10,0.491326327326611,0.0618245213094749,14.9813233273976
MPC,19,0.194493079949288,0.141820939765383,5.11073721346713,0.0580900330203115,1,10,0.879538128743469,0.179682367835238,17.7971707895987
MPC,20,0.423368082043619,-0.166260485583121,4.02270711742936,-0.0186397326731431,1,10,0.634667846717427,0.158617796696828,14.577658656918
MPC,21,-0.469406932457783,-0.132016183805124,-3.53211894561712,0.250932920966842,1,10,0.743177682976468,0.1970697632204,12.4125763856074
