time,position,positionVelocity,angle,angleVelocity,angleReference,force
4.24,-0.0612611868018788,0.00349015416361892,0.0012459029318994,-0.00170631067349735,0.000956085314741506,0.0119671302585538
4.26,-0.0611892257283797,0.00370603386088971,0.00121216945548198,-0.00166881181174057,0.000937384924649634,0.0116331236959895
4.28,-0.0611130074307157,0.00391587480538225,0.00117917806515244,-0.00163206302080207,0.000919109380783442,0.0113066061459533
4.3,-0.0610326513283845,0.00411981258845992,0.00114691389327164,-0.00159605170520194,0.000901249663742621,0.0109874218741472
4.32,-0.0609482741573232,0.00431797997419267,0.00111536232304515,-0.00156076536275293,0.000883796931160948,0.0106754180600309
4.34,-0.0608599900259217,0.00451050695262683,0.00108450898659405,-0.00152619159099273,0.000866742514853675,0.0103704447572393
4.36,-0.0607679104699783,0.00469752079231127,0.00105433976290253,-0.00149231809308659,0.000850077917978953,0.0100723548537218
4.38,-0.0606721445066116,0.00487914609207596,0.00102484077565241,-0.0014591326832291,0.00083379481221524,0.00978100403166854
4.4,-0.0605727986871446,0.0050555048320605,0.000995998390954495,-0.0014266232915732,0.000817885034956531,0.00949625072727487
4.42,-0.0604699771489759,0.00522671642399071,0.000967799214985819,-0.00139477796871267,0.000802340586527048,0.0092179560904003
4.44,-0.060363781666453,0.00539289776070267,0.000940230091541489,-0.00136358488974332,0.000787153627416962,0.00894598394416854
4.46,-0.060254311700762,0.00555416326491412,0.000913278099509351,-0.00133303235792671,0.000772316475540512,0.00868020074455565
4.48,-0.0601416644488501,0.00571062493724403,0.00088693055027514,-0.00130310880797938,0.000757821603517844,0.0084204755400082
4.5,-0.0600259348913951,0.00586239240348199,0.000861174985065425,-0.00127380280900891,0.000743661635981731,0.00816667993113087
4.52,-0.0599072158398366,0.00600957296110942,0.000835999172235173,-0.00124510306711764,0.00072982934691025,0.00791868803048018
4.54,-0.0597855979824843,0.00615227162507565,0.000811391104506398,-0.00121699842769345,0.000716317656986374,0.00767637642249947
4.56,-0.0596611699297189,0.00629059117283207,0.000787338996163966,-0.00118947787740623,0.000703119630985387,0.00743962412362463
4.58,-0.0595340182582987,0.00642463218862839,0.000763831280214248,-0.00116253054592761,0.000690228475190868,0.00720831254259246
4.6,-0.0594042275547882,0.00655449310707545,0.000740856605512,-0.00113614570739077,0.000677637534839996,0.00698232544097599
4.62,-0.0592718804581228,0.00668027025597929,0.000718403833860505,-0.00111031278160616,0.000665340291598775,0.00676154889397384
4.64,-0.0591370577013235,0.00680205789845203,0.000696462037089687,-0.00108502133504826,0.000653330361067749,0.00654587125147525
4.66,-0.0589998381523772,0.00691994827430494,0.000675020494116668,-0.00106026108162767,0.000641601490318681,0.00633518309942306
4.68,-0.0588602988542959,0.00703403164072999,0.000654068687992881,-0.0010360218832621,0.000630147555462643,0.0061293772214923
4.7,-0.0587185150643695,0.007144396312276,0.000633596302941663,-0.00101229375025917,0.000618962559249854,0.00592834856110432
