time,position,positionVelocity,angle,angleVelocity,force,calculationTime
1.66,0.351785823591967,-0.160130884845801,-0.0207509275219269,0.0114874643219512,-0.226539313793182,0.002676
1.68,0.348541968503921,-0.164255175945214,-0.0205201132071913,0.011606113260291,-0.226532205939293,0.003266
1.7,0.345215595747795,-0.168382659082254,-0.020286196728346,0.011797843961617,-0.226112276315689,0.005121
1.72,0.341806721518238,-0.172505333948881,-0.0200478259776706,0.0120517748176709,-0.225283369421959,0.003835
1.74,0.338315521082506,-0.176615293084507,-0.0198038613159432,0.0123575294058328,-0.224054485559464,0.002908
1.76,0.334742325947493,-0.180704819504291,-0.0195533646194808,0.0127053219899886,-0.222437560558319,0.002785
1.78,0.331087619505765,-0.18476644117254,-0.0192955872307988,0.0130859817154789,-0.220448076725006,0.004146
1.8,0.327352031471174,-0.188792997573971,-0.0190299572079364,0.0134909985846676,-0.218104287981987,0.004127
1.82,0.323536331132357,-0.192777691354825,-0.0187560658398764,0.0139125509105789,-0.215425863862038,0.002694
1.84,0.319641419836047,-0.196714113701818,-0.0184736539667175,0.0143434973984181,-0.212435245513916,0.00242
1.86,0.315668322696251,-0.200596296376409,-0.0181825980181516,0.0147774132483633,-0.209154710173607,0.002959
1.88,0.311618179833502,-0.204418706673675,-0.0178828961444714,0.0152085447949332,-0.205608040094376,0.004029
1.9,0.307492237387327,-0.208176275139988,-0.0175746547233,0.0156318172756784,-0.201819330453873,0.004943
1.92,0.303291838205036,-0.211864400224332,-0.0172580750171716,0.0160428119693889,-0.19781294465065,0.002943
1.94,0.299018412444296,-0.215478952245763,-0.0169334402597665,0.0164377461698912,-0.19363559782505,0.003033
1.96,0.294673463785486,-0.219016708463763,-0.0166010966364745,0.0168141041011068,-0.1893530189991,0.003757
1.98,0.290258547590584,-0.222475723382058,-0.0162614225503993,0.0171711780741983,-0.185347408056259,0.004878
2,0.285775183609663,-0.225861503920451,-0.0159146998632314,0.017519335007192,-0.181950807571411,0.004286
2.02,0.28122471669478,-0.229186033688504,-0.0155609065481483,0.0178786128305345,-0.178694933652878,0.004048
2.04,0.276608343377253,-0.232452161780532,-0.01519975643723,0.018255401613575,-0.17548368871212,0.003728
2.06,0.271927221910345,-0.235660867147763,-0.0148308626597705,0.0186533868623854,-0.171917364001274,0.004364
2.08,0.267182568902749,-0.238805335193979,-0.0144538803707939,0.0190646782788123,-0.168014228343964,0.004011
2.1,0.262375733648622,-0.241879111606318,-0.0140686162615264,0.0194820045673688,-0.163429692387581,0.003491
2.12,0.257508261746207,-0.244869019699881,-0.0136751228910254,0.0198880372970758,-0.158159583806992,0.003467
2.14,0.252581963166084,-0.247761798092591,-0.0132738011430446,0.020265254101781,-0.152724891901016,0.004239
2.16,0.247598811522312,-0.250554343344099,-0.0128652514369247,0.0206112133004707,-0.147151470184326,0.004026
2.18,0.242560837541598,-0.253244047526657,-0.0124501174031727,0.0209240331855049,-0.141465276479721,0.003673
2.2,0.237470119138332,-0.255828799723139,-0.0120290747777922,0.0212023832273037,-0.136380970478058,0.003393
2.22,0.232328637094114,-0.258320424564171,-0.0116026188071898,0.0214656524242437,-0.132149338722229,0.003992
2.24,0.227138086814812,-0.260735636093381,-0.0111707846758768,0.0217404821773238,-0.127699211239815,0.00441
2.26,0.221900038418948,-0.263070249522398,-0.0107333879425693,0.0220222052039381,-0.122993111610413,0.003729
2.28,0.216616153011585,-0.265319350737192,-0.010290348002179,0.0223050997036338,-0.118051171302795,0.003438
2.3,0.211288186045881,-0.267478418783357,-0.00984169265760685,0.0225840409749413,-0.112894251942635,0.003796
2.32,0.205917979332379,-0.269543338645543,-0.00938754629341781,0.0228544904722186,-0.107810407876968,0.004123
2.34,0.200507400796791,-0.271515613807129,-0.00892804020500968,0.0231202952980628,-0.102777518332005,0.004118
2.36,0.195058292626629,-0.273396314772072,-0.00846323555603067,0.0233846252145933,-0.0975176990032196,0.003447
2.38,0.189572529828023,-0.275181089130482,-0.00799321161219784,0.0236424992980655,-0.0920529812574387,0.003541
2.4,0.184052070172565,-0.276866012522745,-0.00751814116178728,0.0238895412967732,-0.086404025554657,0.004473
2.42,0.17849894591662,-0.278447560634653,-0.00703827910592759,0.0241219118579735,-0.0805930644273758,0.003243
2.44,0.172915255504915,-0.279922638774354,-0.00655395150798432,0.0243363303677031,-0.0746410489082336,0.002431
2.46,0.167303155237803,-0.281288555926327,-0.00606554500672813,0.0245300167133943,-0.0685688406229019,0.002427
2.48,0.161664851223378,-0.282543022210758,-0.00557349701298955,0.0247006711313573,-0.058967974036932,0.002425
2.5,0.156003260521219,-0.283617229852928,-0.00507929046927158,0.0247459852085622,-0.0488825440406799,0.003743
2.52,0.15032208266787,-0.284501736160427,-0.00458556991735281,0.024652046329086,-0.0394566431641579,0.003765
2.54,0.144624983201108,-0.285209383819369,-0.00409493176278249,0.0244375832657868,-0.0306853801012039,0.00273
2.56,0.138915372113673,-0.285752885520611,-0.00360960706678863,0.024120420897931,-0.024168835952878,0.002657
2.58,0.133196093225338,-0.28617614782763,-0.00313100849831337,0.023764616620356,-0.0162444971501827,0.002642
2.6,0.127469827027513,-0.28645159750098,-0.00266034319862811,0.023326676635556,-0.00871938467025757,0.002536
2.62,0.121739453089343,-0.286586899181979,-0.0021991637508218,0.022815532374604,-0.00186607241630554,0.004343
2.64,0.116007644714165,-0.286595015416801,-0.0017487690012811,0.0222476394212673,0.00434472179040313,0.00282
2.66,0.110276821838659,-0.286488321081555,-0.00131014101180945,0.0216382373138523,0.0103420447558165,0.003033
2.68,0.104549240747661,-0.286270806906306,-0.000884085472242205,0.020989732992798,0.0165811218321323,0.00345
2.7,0.0988271668522973,-0.28593756932243,-0.000471495732194865,0.0202909489328826,0.0200434420257807,0.003878
2.72,0.0931123747750347,-0.285542592334313,-7.26078152387214e-05,0.0196188298008572,0.0226817075163126,0.004135
2.74,0.0874059404472376,-0.28510176336291,0.000313310199429103,0.0189932763169867,0.0252085663378239,0.002545
2.76,0.0817087609861096,-0.284617076863067,0.000687182286561574,0.0184136032709451,0.0276512615382671,0.002181
2.78,0.0760216988037901,-0.284090008841608,0.00104991364125976,0.0178786169204417,0.0290076266974211,0.00257
